Unnamed: 0,Wave 3_Patients Admitted Due to COVID,Wave 3_Patients Admitted Not Due to COVID,Wave 3_Patients Newly Admitted,Wave 3_Patients Discharged,Wave 3_Patients Currently in ICU,Wave 3_Patients Currently ICU Intubated,Wave 3_Patients Expired
OTSEGO,11.935015523545895,4.867208065067323,4.181138843893104,4.349419973002529,3.4821249196910666,2.3688805208119743,0.5307327950926115
PUTNAM,4.894441403530327,1.613381635745587,1.6831914178646026,1.5125452829995494,2.326992743785068,1.0006068794282672,0.1473762071507556
QUEENS,6.001173187376739,6.112976727151186,1.9160922420788669,1.9916777349401198,1.8162564037541198,1.2459008727630096,0.23809430226351339
RENSSELAER,6.28609686588469,4.052816378079811,2.369628137528703,2.289700204182958,2.990245030720536,1.6690833109911252,0.26329201514305217
RICHMOND,9.885602083320727,9.090964104674361,2.990589470032093,2.9951739193580598,6.172197683495815,2.723163226403791,0.2872921921867404
ROCKLAND,6.746615743846966,4.099918162498633,2.1854287968220283,2.0958620428636032,1.840596793949085,0.94940759201842,0.21943854709469185
SARATOGA,3.5159178757499716,1.8785874102475915,1.614813150665155,1.4604087058244057,2.415786207321164,1.0068456496354705,0.2509072226539113
SCHENECTADY,5.344120116284219,2.7846939801722117,2.3437441589006776,2.516289740669741,2.4971180095026604,1.8884155389374988,0.2540254408108262
SCHOHARIE,4.818665215050145,0.7903630780103655,1.453248239886922,1.2237879921922326,0.0,0.0,0.1529734973413206
SCHUYLER,4.0634301430327415,0.0,1.1005123309867024,1.7777506872276234,0.0,0.0,0.0
ST. LAWRENCE,4.587136746693701,3.7632674374452786,2.6740842836735634,3.3583147265102995,4.740739499562232,1.4452622625685452,0.23738607253121977
STEUBEN,7.601338224482818,1.7485506454094717,3.351388737391007,3.764240973884425,3.132819907249103,0.5909453571123269,0.4290425200889041
SUFFOLK,9.110251618695607,6.352352559767222,3.314940057801195,3.25188818024536,3.764743217206668,2.151707385052952,0.32916058987365
SULLIVAN,5.366932450651201,3.1507844004375256,1.9367206870675624,2.553387970594221,2.399221148758649,1.0213551879833132,0.16380224740537241
TOMPKINS,4.879034337998864,3.9118248874598067,2.0275575884244375,2.034722103272177,3.3529927605447325,0.4155418375260072,0.1217967457915642
ULSTER,5.019927236583797,2.2370962040351716,1.470567895694827,1.3372586249182024,1.1622902068176693,0.695707757999681,0.12914335637417446
WARREN,9.945508295176234,8.228381138476049,6.511253981775865,5.808269038745303,6.004182875701661,1.924565336112083,0.9104231224424602
WAYNE,7.377987670212416,4.265788146752407,0.9378094563062126,2.672341990293921,5.045912827141965,2.763633177042823,0.3651647437091244
WESTCHESTER,8.058778992032511,7.0541656447214764,2.8954284085829456,2.691036353970354,2.885623623510016,1.905899345616587,0.274533977860675
WYOMING,5.906440487528065,1.6074489945967283,2.859763906639362,2.2242608176457526,5.588688941797636,1.4018450519355554,0.44859041721151705
YATES,1.8959270606280778,1.9876654637926858,0.9479635303140389,1.0702814038911763,0.0,0.0,0.15289734398966656
