,Unnamed: 0,Wave 3_Patients Admitted Due to COVID,Wave 3_Patients Admitted Not Due to COVID,Wave 3_Patients Newly Admitted,Wave 3_Patients Discharged,Wave 3_Patients Currently in ICU,Wave 3_Patients Currently ICU Intubated,Wave 3_Patients Expired,cluster,Median Income,Less than high school,High school graduate,Some college or associate's degree,Bachelor's degree or higher,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations",Unemployed,POVERTY
27,NASSAU,11.124489157986895,9.07609815056019,2.731730773033457,3.784692764014805,3.836798099119199,1.974575114595916,0.3218590002392937,2,126576,0.08158075153522036,0.2219261864401335,0.24623456863772655,0.4502584933869196,0.48664456288128677,0.1567334758558105,0.21723867678832282,0.06332151335543712,0.07606177111914282,3.0,4.5
28,NEW YORK,11.878852413249277,13.971490717727184,3.189484839613493,4.1664965279642745,5.778454027768023,3.098714417167232,0.3536916455708156,2,93956,0.11164361150172818,0.13037571405850076,0.16165660871520968,0.5963240657245614,0.6283558408606852,0.13504737235521372,0.1740615238871278,0.020215370040973967,0.042319892855999304,4.4,6.6
31,ONONDAGA,9.947518058155444,4.654999660032402,4.3561130707048665,4.0858432812329495,6.418112577541993,2.887117276229969,0.4864856202100244,2,66012,0.0854580829818139,0.25307523677313193,0.32245365035294876,0.3390130298921054,0.4370069626226472,0.16742792528090888,0.2261561336966006,0.06339369980590132,0.10601527859394198,3.7,5.9
32,ONTARIO,12.48951123975173,6.325593878603568,4.742511277988227,4.823349538494371,9.646699078767185,3.8802365007380537,0.5726043447331448,2,70694,0.06820820865526328,0.264604081997231,0.3184761734625519,0.3487115358849538,0.44414955617322693,0.1634358468573478,0.1996413521025733,0.08706177710033175,0.10571146776652023,2.5,4.0
33,ORANGE,9.076335605890709,6.055924422516259,3.599952580299519,3.422503421295258,3.5565341680994744,2.2653083877800206,0.3756636410754778,2,85640,0.1027573243541113,0.2904893270316504,0.31780901573392295,0.28894433288031535,0.378329993758828,0.18554347469040502,0.22537748141335173,0.09374897349144302,0.11700007664597226,3.4,5.4
36,OTSEGO,11.935015523545896,4.867208065067323,4.181138843893104,4.349419973002529,3.482124919691066,2.3688805208119743,0.5307327950926115,2,60523,0.07272360185746013,0.3361599030890369,0.31215424994952556,0.2789622451039774,0.3651817980677041,0.1984659635666347,0.2236890626152371,0.10557563242127001,0.10708754332915407,3.2,5.7
40,RICHMOND,9.885602083320729,9.09096410467436,2.990589470032093,2.99517391935806,6.172197683495815,2.723163226403791,0.2872921921867404,2,89427,0.1134282596268773,0.2954269084862028,0.25669334303383046,0.33445148885308945,0.4279598346341637,0.20326811361773406,0.19934780284400727,0.08289229837128907,0.08653195053280588,3.3,5.5
48,SUFFOLK,9.110251618695608,6.352352559767222,3.314940057801195,3.25188818024536,3.764743217206668,2.151707385052952,0.32916058987365,2,111660,0.09533402678476995,0.2615783210091634,0.2814191380937192,0.36166851411234746,0.4242107962327995,0.16516615189152484,0.22768137287115675,0.08813672015431658,0.09480495885020236,3.1,4.8
52,WARREN,9.945508295176234,8.228381138476049,6.511253981775865,5.808269038745303,6.004182875701661,1.924565336112083,0.9104231224424602,2,68765,0.0887578367719011,0.2788495525831116,0.315033579521143,0.3173590311238442,0.3985988086787445,0.18931514459430265,0.22199932100861083,0.07610876207524458,0.11397796364309744,2.6,4.2
54,WESTCHESTER,8.058778992032511,7.0541656447214764,2.8954284085829456,2.691036353970354,2.885623623510016,1.905899345616587,0.274533977860675,2,105387,0.1110169632750799,0.1922722430672083,0.2212891473752623,0.4754216462824495,0.5071448697822324,0.16748379825302903,0.18900897637161373,0.06833111943002053,0.06803123616310429,4.0,6.1
