,PTS,PTS.1,G_x,SRS_x,SOS_x,Tm._x,Opp._x,FG_x,FGA_x,FG%_x,3P_x,3PA_x,3P%_x,FT_x,FTA_x,FT%_x,ORB_x,TRB_x,AST_x,STL_x,BLK_x,TOV_x,PF_x,Conf_x,G_y,SRS_y,SOS_y,Tm._y,Opp._y,FG_y,FGA_y,FG%_y,3P_y,3PA_y,3P%_y,FT_y,FTA_y,FT%_y,ORB_y,TRB_y,AST_y,STL_y,BLK_y,TOV_y,PF_y,Conf_y
3P_x,0.18458046686816015,0.05124338021174781,0.1857142387070937,0.20541092831321225,0.025953113198695768,0.4836326104420449,0.10150839978138013,0.333929542833092,0.2769258124600189,0.22970320804166938,1.0,0.9239595713180546,0.58749661935888,-0.06324763695871118,-0.15737925563347968,0.23710249171589998,-0.13104657127466238,0.08485326289105254,0.3250224222731099,-0.13979104750764998,-0.15450519064941037,-0.31746091556814865,-0.18314259579636927,-0.043530057109586226,-0.01779479943279168,0.01706150628559411,0.023071231053069602,0.09006470281965827,0.07078491368878237,0.09735623407927624,0.03583522423869663,0.1088975418054533,0.09857048240387117,0.08420058007045074,0.06879634401094813,-0.0231017330062729,-0.038153208267320764,0.03553378694759423,-0.05772260132373373,0.0028782374563082556,0.05448068096124425,-0.042161537637784616,-0.0237084596507273,-0.06897448243794309,-0.06305319479898734,-0.04625889209358913
3PA_x,0.12432832535341379,0.05334181160697953,0.1022815955308154,0.13417593003749093,0.0218338826419997,0.3389119591093595,0.0966655158693178,0.17971727082151212,0.2828691326781562,-0.0006058074156254728,0.9239595713180546,1.0,0.2384500196051315,-0.08311438754833662,-0.15718537669969937,0.1748399431616412,-0.06089811032798965,0.10334128136144238,0.19868817033025918,-0.12028084742891944,-0.11800698446701119,-0.2708112141974685,-0.1687165257820598,-0.0462370118956201,-0.0197712151252486,0.021811525588226535,0.02307682148370828,0.07820635565638892,0.05817763137463533,0.0851706953814837,0.041601401746469036,0.08539768471698396,0.08189593761496064,0.07400153595886923,0.047344224153755075,-0.019024173965005765,-0.029293166376294987,0.023430019830625017,-0.03368018108875933,0.021146761282820576,0.05078866402762369,-0.03019189105316975,-0.00917330126949271,-0.06506600008869552,-0.07170662160954168,-0.046435463526258755
3P%_x,0.2046125041030671,0.01417351726164253,0.24543400092804857,0.23914616726265156,0.01377026905618822,0.5144620183693307,0.04427664751888812,0.4717146026717535,0.10856181297554862,0.5873864185505054,0.58749661935888,0.2384500196051315,1.0,0.01433925632233725,-0.06690502431165198,0.22640364183690143,-0.2088932826115117,0.0012085226869875112,0.41663660850616197,-0.09707454263913724,-0.12901422857789974,-0.2344851974763978,-0.11378358308377748,-0.02035956815527188,-0.009343980956852889,-0.005799351448255939,0.00636272875030798,0.06049660415727448,0.05624277444815144,0.06536928200375806,0.00017932550794395272,0.09635728628031907,0.07719572985328733,0.0569364937281939,0.07542579673189785,-0.022618256333570976,-0.037541464422039796,0.03459373484517733,-0.0770526396652385,-0.04029507902039946,0.03581159838121751,-0.04219641931839509,-0.04300526237221738,-0.03598867169216498,-0.007815035565243792,-0.02404174952357786
FT_x,0.1633248567799703,0.08143564966618913,0.16319509982244287,0.20272594488245652,0.11613708833689501,0.48452035392359794,0.21964125514239552,0.1706257808477304,0.10370342454720854,0.15189921294190398,-0.06324763695871118,-0.08311438754833662,0.01433925632233725,1.0,0.936194365930612,0.3269527457762337,0.2294190100857836,0.3048149971694812,0.0862534645125427,0.16689314297620675,0.10484590867575955,0.19462081871008727,0.35941078443912705,0.08550495837285059,0.06584496730990216,0.08178874994906467,0.13191484604203685,0.06555153001484716,0.04417033919753071,0.021393464655855135,0.043879628443375,-0.010723372993750282,-0.013096632439161017,-0.008778291212891809,-0.01916379090009145,0.14282442381527344,0.15183165599470091,0.003152407349078732,0.10246578904997403,0.05382431101938644,0.01527763134049465,0.05042076910828482,0.007535742473888852,0.08459247035592432,0.1939480207099728,0.08007054142688891
FTA_x,0.13867504534204195,0.08382214466621775,0.10433168247822656,0.12116491375319306,0.057399874520759696,0.4037762876704563,0.21489894464433396,0.12631484306957072,0.1058366723659777,0.08686485223827226,-0.15737925563347968,-0.15718537669969937,-0.06690502431165198,0.936194365930612,1.0,-0.022407350674687968,0.33242408195747947,0.35627292240428193,0.058205297784531325,0.2371464102139846,0.15138500765893978,0.32318238739161753,0.43061360572419716,0.14251015422708738,0.04553189704789882,0.036623427391845785,0.07367957635767945,0.047735713737632364,0.035395017829042356,-0.0002712694455012377,0.03499397289718211,-0.03322487625905322,-0.027824459221765206,-0.020198087428291513,-0.02993519052729302,0.149301732296304,0.1746722016423809,-0.04005635856656312,0.12212014420339683,0.05734350038575175,-0.002948813264848622,0.08160542427261595,0.0033667226361776097,0.13238498564138584,0.23204736373295148,0.13505991072328438
FT%_x,0.09088955383485744,0.008651585586955286,0.1770348001342145,0.24256032913271539,0.16909793714207666,0.2900583839702849,0.04807257715367354,0.14428886360288426,-0.0006125850648863318,0.20725456863759956,0.23710249171589998,0.1748399431616412,0.22640364183690143,0.3269527457762337,-0.022407350674687968,1.0,-0.2510522464597853,-0.09406766742043568,0.07667800013755655,-0.16672378209009528,-0.10998803553675328,-0.3027996703869654,-0.1269871809942751,-0.1495459861904069,0.0639317885219827,0.12613018941653562,0.17049632893495067,0.06021679134097414,0.03709250935917591,0.06092480945148316,0.03384345407406095,0.054947168693792695,0.03734479902699449,0.029047725765146384,0.02535097070966261,0.012101279572698066,-0.03078026665186367,0.12010563781491199,-0.03314397573110001,0.0011132603409787659,0.040989468180002556,-0.0792830655918328,0.014576556088575037,-0.11434950800090296,-0.06746243908113918,-0.1440179181436519
ORB_x,0.07630896950986982,0.000757169062980569,0.12870023188004118,0.14421143489961566,0.05025797929601228,0.19224318158000225,-0.0447412395032181,0.1823582850510836,0.5297659191162514,-0.23260693534926946,-0.13104657127466238,-0.06089811032798965,-0.2088932826115117,0.2294190100857836,0.33242408195747947,-0.2510522464597853,1.0,0.7249687132248939,0.09178053679716591,0.28497263421388797,0.24488946052611857,0.2240583276165916,0.2829947311157894,0.08099712345053983,0.027256923542581572,0.028772052280252855,0.05124626065959465,0.01739212749675973,0.014014681382922403,-0.008513983939780126,0.04946405316392889,-0.061117170253257094,-0.05088512143201803,-0.028569806794117004,-0.06761078840440808,0.09837951989052159,0.11502849336351376,-0.025148148834114762,0.12351568107241934,0.045801813103499754,0.006148475324145577,0.13132915849478544,0.035854690540462725,0.10809823400232794,0.10261911012492889,0.0869828266808333
TRB_x,0.17249059245559395,-0.0023981118992217167,0.27559279829442823,0.37623729441784465,0.16354432547971684,0.4776319591332186,-0.08169594975583327,0.44823339021765307,0.600042455156067,0.08845110244555505,0.08485326289105254,0.10334128136144238,0.0012085226869875112,0.3048149971694812,0.35627292240428193,-0.09406766742043568,0.7249687132248939,1.0,0.3133501466517821,0.02447392660247431,0.3784331754000925,0.052461926106461484,0.03255923146008695,0.0181343037999251,0.033590955355047594,0.1193224057175597,0.1596189972757849,0.023214618912746173,-0.026259943060177638,0.002537748333345192,0.03478751490068658,-0.03101303446335626,0.0065274655639622784,0.025276979719178517,-0.03857450127764391,0.054177648751669784,0.05725863030656328,0.0025801778996379044,0.04664496106061907,0.04435101671984183,0.030226058751008162,0.052958393441117045,0.05310985761753822,-0.02273468869584604,0.022092252071619176,0.03141768212591419
AST_x,0.22265814225210265,0.0073459365412265505,0.34415298552415846,0.4666591609460898,0.22842357047334977,0.6289828182970243,-0.010276692389553687,0.6726303838227127,0.40855584247700694,0.597320681957003,0.3250224222731099,0.19868817033025918,0.41663660850616197,0.0862534645125427,0.058205297784531325,0.07667800013755655,0.09178053679716591,0.3133501466517821,1.0,0.2462110818166031,0.18411342447730908,-0.11967598023657275,-0.12729396729067813,-0.061859822968534886,0.049713047433512236,0.1659793772215541,0.22258488831739795,0.05528008921818665,0.003071747013265781,0.048664292589236643,0.03051664900463817,0.04156337467786826,0.05698299113717719,0.056728621177433686,0.027754378466920117,0.010844662582467416,-0.003644029511044593,0.03032354751165861,-0.003785751677717143,0.02069048588816528,0.11039244180478266,0.03166071092169015,0.04433646718776657,-0.02206208927993021,-0.0403259638563126,-0.05718367839267447
STL_x,0.09101263724167848,-0.04540113876326863,0.08912595286840695,0.10046777642419519,-0.04644730764431963,0.2155024107474835,-0.0850193754508205,0.24606439918264136,0.30654825987897427,0.06730489479382383,-0.13979104750764998,-0.12028084742891944,-0.09707454263913724,0.16689314297620675,0.2371464102139846,-0.16672378209009528,0.28497263421388797,0.02447392660247431,0.2462110818166031,1.0,0.13184821129784902,0.20642350951765864,0.24939188093447187,0.10750666137001029,-0.006861420139339261,-0.06484232377944164,-0.053189332602538365,0.007724399548237308,0.05663030464350526,-0.002826579295096658,0.06041201096418977,-0.06116967390863444,-0.04483367881891796,-0.025761814262217953,-0.05729960849239058,0.055188973243567925,0.08680315828627078,-0.08048857335309503,0.1347992942062903,0.05326573903434861,0.035366426479003094,0.14151568503813594,0.0035548904014944325,0.20385887710206443,0.10743959689851316,0.11187009707258393
