,PTS,PTS.1,W_x_x,L_x_x,Pace_x,ORtg_x_x,TS%_x,eFG%_x,TOV%_x,Tm._x,AST_x,Pts_x,Opp_x,MOV_x,OSRS_x,ORtg_x_x,DRtg_x,Conf_x,W_x_y,L_x_y,Pace_y,ORtg_x_y,TS%_y,eFG%_y,TOV%_y,Tm._y,AST_y,Pts_y,Opp_y,MOV_y,OSRS_y,ORtg_x_y,DRtg_y,Conf_y
AST_x,0.22567448894340802,0.004818396948026346,0.515174526773668,-0.5191474547732885,0.2785630972818415,0.5942880956116257,0.5970311563623408,0.641436071071727,-0.24599573205584965,0.6222785939137659,1.0,0.622278593913766,-0.025861155813728328,0.5560842205563439,0.6015955038717437,0.5942880956116257,-0.33888604247360565,-0.04296088246924709,0.03833951931417876,-0.04048545139143846,-0.02011393233852152,0.09163105413520618,0.07005272750763643,0.06606233963681285,-0.07444617018021171,0.06209229102946918,0.10931533010517885,0.06209229102946918,0.003693879323907981,0.05054000934352271,0.1659153529416226,0.09163105413520618,-0.1717219857959943,-0.04414376957152937
Pts_x,0.3927363408558357,0.12647456683989897,0.6007514139681549,-0.5979265243279899,0.5925513500098483,0.8454214439668691,0.7398570722027235,0.7012132954389415,-0.4756491967401319,1.0,0.622278593913766,1.0,0.26003922112715117,0.6584799609602552,0.8217386291906109,0.8454214439668688,-0.2344362978441158,-0.036062596206905675,0.04471828961528273,-0.044698994405222826,0.06826950405467527,0.17529606412200244,0.12377152604223506,0.10400045301956343,-0.14002117609835646,0.17395100925754137,0.07341079249029386,0.17395100925754137,0.11280112522945883,0.06161565139382907,0.1685244868278014,0.17529606412200244,-0.09861655613407032,-0.035760805732305286
Opp_x,0.11939969199147121,0.39516007536496334,-0.5099069585870722,0.5168630768035374,0.6489769205592559,-0.1152238241927569,-0.01635660408314956,-0.04186928011362398,0.09131436710889176,0.26003922112715117,-0.025861155813728328,0.26003922112715117,1.0,-0.5554455256106186,0.10011579422971882,-0.1152238241927568,0.589716673602267,0.0528248313804385,-0.002854236268967238,-0.007695215308970039,0.08457598178440935,0.09628323668225124,0.06181961878933595,0.05048252228393278,-0.07638431646646297,0.11866724752663703,0.00393947911999976,0.11866724752663703,0.12619763021494784,0.0036801894347089814,-0.042108975097663086,0.09628323668225124,0.12719406674286832,0.04766769455282
MOV_x,0.24518162333425358,-0.1990986426104455,0.9149949884830704,-0.917814964595379,0.00437701928036499,0.8179048821514893,0.6499375101222803,0.6365345850425297,-0.4809142311624552,0.6584799609602552,0.5560842205563439,0.6584799609602552,-0.5554455256106186,1.0,0.6297134468541472,0.8179048821514895,-0.6616244271260296,-0.07234021501425673,0.04075375605361843,-0.03245456206491886,-0.007187313989159377,0.07590640505027417,0.05834164230925678,0.050159189285555426,-0.06113455635027196,0.057269892262957624,0.06018993918933042,0.057269892262957624,-0.0011664402384733304,0.05011686700869574,0.17799635213916012,0.07590640505027417,-0.1841168503281626,-0.0679771008096453
OSRS_x,0.3029601971053927,0.1065027054863947,0.619884485755422,-0.5834902658231075,0.4074178023621862,0.745550438742974,0.6496630449168111,0.6051936764864989,-0.4386784733896217,0.8217386291906109,0.6015955038717437,0.8217386291906109,0.10011579422971882,0.6297134468541472,1.0,0.7455504387429742,-0.603811020920379,-0.1615170370040249,0.17675782507864388,-0.15020918769356248,-0.01693501685355327,0.2198639753848277,0.15889825030200208,0.13037339242005386,-0.1769233817697616,0.16628816703420685,0.17316005473331608,0.16628816703420685,-0.04533543053185833,0.17827773103897965,0.45372060547101434,0.2198639753848277,-0.4967629256333276,-0.16128931569310856
ORtg_x_x,0.32870361994550057,-0.01771813600290416,0.7413721302098081,-0.7392822568046818,0.08290686730127385,1.0,0.8311142706150895,0.8036596878306373,-0.6216251457091686,0.8454214439668688,0.5942880956116257,0.8454214439668688,-0.1152238241927568,0.8179048821514895,0.7455504387429742,1.0,-0.3527980011718225,-0.10928626122064815,0.0580778638460886,-0.055750441829235525,-0.0010962191143627578,0.21382826635189003,0.15554284567030707,0.14154327631823124,-0.1943681293313291,0.1696300314661336,0.10056174055843047,0.1696300314661336,0.08944539162746358,0.07613913573749519,0.21881503642932174,0.21382826635189003,-0.14110235642255095,-0.10690897777356041
DRtg_x,-0.05376951598528903,0.16473694785890375,-0.6629136814505906,0.6270160097586891,0.09122559576966527,-0.3527980011718225,-0.2280646428110531,-0.2101931231405063,0.24102402752221444,-0.2344362978441158,-0.33888604247360565,-0.2344362978441158,0.589716673602267,-0.6616244271260296,-0.603811020920379,-0.3527980011718225,1.0,0.16827581063141245,-0.1899667289051138,0.151753485973071,0.029007542580586614,-0.1375776594229734,-0.10468815258129881,-0.0794806676762565,0.10095681425302776,-0.09606319895929531,-0.1750865687139013,-0.09606319895929531,0.12594147846358866,-0.18071695351862677,-0.49508544466644633,-0.1375776594229734,0.5893573631659632,0.16797341565366145
Conf_x,-0.005183297176661176,-0.002091422353942138,-0.08288298384923726,0.07754513830543219,0.1082992106384565,-0.10928626122064815,-0.10122081752718057,-0.09288688569198185,0.11795775661285125,-0.036062596206905675,-0.04296088246924709,-0.036062596206905675,0.0528248313804385,-0.07234021501425673,-0.1615170370040249,-0.10928626122064815,0.16827581063141245,1.0,-0.07345458818687746,0.06526280687538046,0.10898045116399067,-0.10175632851750692,-0.09212411999575665,-0.08268977340422548,0.11834071656439399,-0.028635320072680475,-0.03886950833488411,-0.028635320072680475,0.0450252516977339,-0.05974166769713059,-0.1555161155781462,-0.10175632851750692,0.16213352985079588,0.9492603875379756
W_x_y,-0.20849114758446366,0.28439780783295016,0.04090458800144662,-0.01502826274996876,-0.005002762512198757,0.0580778638460886,0.03893746177940116,0.028663293408144747,-0.05647229134666847,0.04471828961528273,0.03833951931417876,0.04471828961528273,-0.002854236268967238,0.04075375605361843,0.17675782507864388,0.0580778638460886,-0.1899667289051138,-0.07345458818687746,1.0,-0.9645319310614344,0.011567743415064198,0.7417376127034,0.5957287055546603,0.5754314906695213,-0.43976936586476284,0.5997197818526566,0.5171515960677253,0.5997197818526566,-0.5131406841264158,0.9151187222310817,0.6177044835173873,0.7417376127034,-0.6615177525375228,-0.08257793460356694
L_x_y,0.20989301824196888,-0.27919919792522657,-0.022146337760949108,0.012417212566071114,0.0003152725883077047,-0.055750441829235525,-0.0377389771085835,-0.031023745998890503,0.05241517790248358,-0.044698994405222826,-0.04048545139143846,-0.044698994405222826,-0.007695215308970039,-0.03245456206491886,-0.15020918769356248,-0.055750441829235525,0.151753485973071,0.06526280687538046,-0.9645319310614344,1.0,-0.010743823959733355,-0.7409121809739144,-0.6017575344515815,-0.5849334662546967,0.4297166617770152,-0.5974718152300674,-0.5200425199451032,-0.5974718152300674,0.5208838225793991,-0.9190646179002802,-0.5820347557340602,-0.7409121809739144,0.6266280476891175,0.07570161573661399
