School,W,L,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
Sam Houston,26,8,66.7,107.4,0.293,0.373,0.549,54.6,51.5,12.2,8.4,0.527,16.6,33.7,0.198
Samford,21,11,69.9,110.9,0.412,0.448,0.575,51.6,45,11.4,8.3,0.533,15.6,29.3,0.308
San Diego,11,20,70.4,108.6,0.312,0.367,0.553,48.8,46.9,9.4,5.2,0.516,14.1,28.7,0.239
San Diego State NCAA,32,7,66.6,106.1,0.327,0.346,0.533,53,51.1,10,11.7,0.498,14.8,31.9,0.236
San Francisco,20,14,70.4,107.4,0.322,0.489,0.569,51.3,49.4,9.5,6.7,0.535,17.1,28.9,0.241
San Jose State,21,14,63.2,105.6,0.265,0.408,0.526,55.6,49.3,6.3,11.4,0.502,15.6,35.4,0.18
Santa Clara,23,10,71.2,106.8,0.298,0.366,0.549,53.3,50.1,8.2,10,0.521,15.2,30,0.21
Seattle,20,12,70.8,101.3,0.325,0.445,0.511,51.3,48.5,8.6,8.2,0.473,14.5,29.9,0.233
Seton Hall,17,16,67.8,100.9,0.407,0.328,0.53,50.8,51.1,12.2,12.3,0.492,17.6,30.9,0.279
Siena,17,15,66.6,101.8,0.345,0.345,0.533,51.9,53.4,8.4,10.6,0.493,16.9,30.5,0.254
South Alabama,19,16,66.7,106,0.22,0.378,0.552,47.7,41.8,9,10.4,0.534,13.2,21.1,0.151
South Carolina,11,21,65.1,97.2,0.268,0.409,0.495,49.3,47.7,7.4,7.1,0.469,16.8,32.7,0.177
South Carolina State,5,26,73.7,98.7,0.29,0.339,0.505,48.8,51.9,9.7,8.8,0.477,17.7,34.7,0.194
South Carolina Upstate,16,16,68.4,100,0.321,0.35,0.538,47.4,46.3,10.8,13.3,0.515,17.1,25.4,0.21
South Dakota,12,19,67,103.5,0.272,0.403,0.544,49.5,51,6.6,4.4,0.51,15.4,25.6,0.208
South Dakota State,19,13,67.9,103.6,0.28,0.388,0.555,48.8,42,7.6,8.3,0.518,15.4,21.5,0.222
South Florida,14,18,69.6,103.1,0.307,0.371,0.531,52.4,50.8,9.3,8.8,0.508,16.8,33,0.2
Southeast Missouri State NCAA,19,17,73.8,103.2,0.378,0.399,0.54,49.2,51.9,9.3,8.6,0.503,15.4,26.5,0.268
Southeastern Louisiana,18,14,70.4,108.1,0.317,0.346,0.556,49.4,51,10.1,5.3,0.522,14.9,28.9,0.235
Southern,15,17,72.9,97.9,0.335,0.394,0.53,47.7,56.1,11.8,7.4,0.495,17.7,25.1,0.239
Southern California NCAA,22,11,68.3,105.6,0.332,0.33,0.55,49.6,52,10,13.4,0.512,15.9,28.8,0.248
Southern Illinois,23,10,64.8,101,0.299,0.463,0.553,49.4,59.7,11.1,6,0.524,17.4,22.9,0.216
SIU Edwardsville,19,14,70.7,105.5,0.4,0.375,0.54,51.1,48.8,9.8,11.4,0.497,15.6,31.4,0.292
Southern Indiana,16,17,70.5,106.2,0.331,0.427,0.54,52.6,48.4,10.1,6.7,0.514,16,32.6,0.222
Southern Methodist,10,22,70.6,98,0.33,0.337,0.506,48.2,53.8,9.9,9,0.474,15.7,28.1,0.223
Southern Mississippi,25,8,68.9,107.1,0.321,0.369,0.546,51.8,55.4,12.1,7.5,0.514,15.3,32,0.229
Southern Utah,24,13,73.7,110.1,0.376,0.388,0.569,52.5,45.6,9.6,8.7,0.534,15.4,29.4,0.273
St. Bonaventure,14,18,66.7,99.3,0.295,0.362,0.522,48.7,49.4,10.4,10.4,0.492,16.5,27.5,0.207
St. Francis (NY),14,16,67.1,96.3,0.308,0.339,0.499,49.1,53.6,11,11.8,0.464,17.5,31.5,0.215
St. John's (NY),18,15,73.8,103.3,0.277,0.27,0.522,52.9,51.5,11,10,0.494,15.9,34,0.194
St. Thomas,19,14,67,110.7,0.307,0.445,0.564,48.1,50.3,8.9,6.5,0.525,13.1,24.7,0.241
Stanford,14,19,66.1,106.4,0.294,0.397,0.55,52.2,58.5,8.6,9.8,0.524,16.4,31.1,0.204
Stephen F. Austin,19,13,70.9,104.9,0.373,0.29,0.562,50.8,55.6,12.3,7.6,0.528,18.6,32,0.267
Stetson,17,14,65.8,113.9,0.248,0.436,0.573,51.2,50.1,7.6,8.8,0.544,13.7,30.2,0.191
Stonehill,14,17,67.5,98,0.321,0.415,0.552,46.1,52.8,10.3,8.1,0.514,18.1,19.9,0.243
Stony Brook,11,22,65.1,96.7,0.287,0.452,0.522,49.1,53.6,6.7,7.6,0.486,17.1,23,0.214
Syracuse,17,15,68.3,107.7,0.306,0.29,0.55,49,52.7,10.9,15.7,0.515,14.7,29.9,0.229
Tarleton State,17,17,69.1,103.4,0.448,0.255,0.54,48.8,51.6,14,9.9,0.497,15.8,28.2,0.315
