,PTS,PTS.1,W_x,L_x,Pace_x,ORtg_x,FTr_x,3PAr_x,TS%_x,TRB%_x,AST%_x,STL%_x,BLK%_x,eFG%_x,TOV%_x,ORB%_x,FT/FGA_x,Conf_x,W_y,L_y,Pace_y,ORtg_y,FTr_y,3PAr_y,TS%_y,TRB%_y,AST%_y,STL%_y,BLK%_y,eFG%_y,TOV%_y,ORB%_y,FT/FGA_y,Conf_y
AST%_x,0.026421753928755193,-0.0714095826996645,0.26694696720269695,-0.25569419189327075,0.009895804063681967,0.19055767360173415,-0.02584399541674248,0.15835311486684772,0.23700923817706043,0.13506816808483674,1.0,0.15155614475931858,0.12712678023607474,0.26107615749715773,0.009327704345558387,0.025392514807826675,-0.02643773930034071,-0.0741127216018764,0.03891483187305828,-0.026963971387905964,-0.0017428607038590088,0.004693786357731135,-0.01883370478989718,0.011370979900536756,0.000248236801770733,0.007317097086453121,0.12118021778831209,0.040132920324510525,0.07073066526612987,0.002177380371942225,-0.010096030754105693,0.0018325466185337806,-0.01567462909341141,-0.06986649461653986
STL%_x,0.03853437306843783,-0.10620313528865263,0.2479760034489294,-0.2683254770062614,0.1669640607674263,-0.0059584223057200705,0.08109674144524219,-0.22245967542975875,-0.08629147893980518,-0.08146114417471251,0.15155614475931858,1.0,0.24822804519413091,-0.07242807125621513,0.04838071964674289,0.24237508427264357,0.017853237220858856,0.08809654684843193,-0.02976175868084355,0.03823288190906691,0.09583250922005368,-0.07870337314538593,0.04645304636733226,-0.04843992365309706,-0.07905066623569636,-0.011941318674215532,0.04569211205729837,0.10893720561555836,0.00544762121863954,-0.07745969969573281,0.1347309682688258,0.11026147156533696,0.018434475635525714,0.09275256899499819
BLK%_x,-0.015763415490970614,-0.10721088819834054,0.27688846027215136,-0.2618913443555766,-0.00855651594014548,0.05110708991871191,0.0841405584079869,-0.22705300856572158,-0.08195192246930008,0.18554666689640728,0.12712678023607474,0.24822804519413091,1.0,-0.07588276206625341,-0.03934205309810368,0.2897062135361699,0.033364181653745224,-0.08060436269174784,0.06915175332515118,-0.050918591802980355,-0.03774490726775502,0.020833617929406342,0.02185136053779334,0.004715900924105728,-0.023105873120592615,0.018582156663654002,0.07589024621265829,0.012457134641416347,0.10096919829105153,-0.03291500579268635,-0.05849231450550657,0.040217793496578176,0.027136259037044044,-0.08484257995106555
eFG%_x,0.2672909857826607,0.0020508078810372535,0.5720670555395344,-0.5774093333263899,0.16981983591851296,0.8180119708598622,-0.03925650309208712,0.32001435826919716,0.9715257964549333,0.24327605820051026,0.26107615749715773,-0.07242807125621513,-0.07588276206625341,1.0,-0.28730310962861233,-0.16399835252101108,0.052646247441501336,-0.0685206815665322,0.0209042361323111,-0.01975425988041555,-0.009674764935424272,0.13706724146564345,-0.039448427102998264,0.10862025776991438,0.16263678592363132,0.03100109543899501,0.020640869011111566,-0.06892678608596338,-0.020855763817123507,0.16853785539296523,-0.07948446495904819,-0.0728409201511861,-0.013699585678164001,-0.07152646274873951
TOV%_x,-0.14440656052780038,0.04612526599447531,-0.4695412267478208,0.4492539478758653,0.05207494756620447,-0.6289661427804307,0.2868827142258144,-0.16506394244509437,-0.2797909244383648,-0.11103177058084064,0.009327704345558387,0.04838071964674289,-0.03934205309810368,-0.28730310962861233,1.0,0.05150451691794762,0.1749811207380919,0.09977626255954525,-0.06606284120565252,0.05862027305213698,0.09815187678240878,-0.131233331472329,0.06720276664946791,-0.06548457552936184,-0.08285273041969896,-0.06295377479175265,-0.02526855492695814,0.1215240802984139,-0.06584272728072113,-0.07860364084710568,0.20210287551401485,0.05279770675663568,0.028499706742475296,0.09915069905294596
ORB%_x,0.07260507601162122,-0.05829943308886779,0.2892967060359997,-0.2829350120304308,0.057121757954452096,0.21562508110599643,0.19665698149577546,-0.2807454492146644,-0.1559032244653607,0.7124223165867412,0.025392514807826675,0.24237508427264357,0.2897062135361699,-0.16399835252101108,0.05150451691794762,1.0,0.12740679183317669,0.06444001023483913,0.02171001812739424,-0.011066916325669026,0.06522933684824851,-0.024116999170552166,0.08940005290597973,-0.04442029664492911,-0.0489608904733896,-0.03419089818070172,0.013668943483211267,0.10847274114500456,0.03243538048299622,-0.06299211560545907,0.05250629602069049,0.09798730899349029,0.07758403655828906,0.06980776831847153
FT/FGA_x,0.072126505068957,0.026240438098021512,0.17997332517810044,-0.1824945818908964,0.2564294606890227,0.14888372861676866,0.9388237978293933,-0.10711873657616322,0.24883267832616834,0.143142285548188,-0.02643773930034071,0.017853237220858856,0.033364181653745224,0.052646247441501336,0.1749811207380919,0.12740679183317669,1.0,0.0692944271877879,0.01644754299100518,0.00547822944844346,0.06665617807152342,0.007951752048104435,0.1241395761189432,-0.03460032319450664,-0.004524927290963086,0.024526206840889415,-0.009293005996314555,0.014411228341941308,0.012414609067106393,-0.022367265849954705,0.04182780050736708,0.07899385072136325,0.11557046531998258,0.06165156445757654
Conf_x,0.010038713299403854,-0.0030824778780693526,-0.07393322836407375,0.0675620768065876,0.13266326733178935,-0.07560976790199767,0.12457005252787576,-0.06416430210175035,-0.07149098599249869,-0.012830507456449147,-0.0741127216018764,0.08809654684843193,-0.08060436269174784,-0.0685206815665322,0.09977626255954525,0.06444001023483913,0.0692944271877879,1.0,-0.06854322495815576,0.05720964986890302,0.1341991908281366,-0.079712487898054,0.10823541700800202,-0.05761107705438833,-0.0816952429318753,0.0017617461856902418,-0.07621912646908834,0.08474906917794968,-0.0901616821535785,-0.07819436958355029,0.09952991939677484,0.07219279741439005,0.05648407347504182,0.9443610946246163
W_y,-0.20969125188689489,0.2841009724841654,0.0484840452076141,-0.019145418322174743,-0.03836045857460071,0.05673190840152402,0.0034050938021791765,0.014651341490374677,0.02715006749936571,0.04825612868938361,0.03891483187305828,-0.02976175868084355,0.06915175332515118,0.0209042361323111,-0.06606284120565252,0.02171001812739424,0.01644754299100518,-0.06854322495815576,1.0,-0.9633749916212516,0.04005857372327823,0.758302498594988,0.10972314773999876,0.08510220742370955,0.5962155887477092,0.5493247475649019,0.2781431252141702,0.2551531189236311,0.2830246322352617,0.5761840082938462,-0.46465334788160434,0.29383325509507224,0.1806558952027802,-0.07800908533349209
L_y,0.20809000166263872,-0.2815478818237893,-0.025126098082417524,0.010863585067417946,0.032411537355673814,-0.04492374552797384,0.013983332090375927,-0.024109775160806254,-0.020480407596012773,-0.04460421030999069,-0.026963971387905964,0.03823288190906691,-0.050918591802980355,-0.01975425988041555,0.05862027305213698,-0.011066916325669026,0.00547822944844346,0.05720964986890302,-0.9633749916212516,1.0,-0.06152752447184396,-0.7495422551506978,-0.11929152571959296,-0.08728083297362148,-0.6000608623244319,-0.5494799194639514,-0.26526268464817937,-0.2721329427175754,-0.2705919534787012,-0.5818708672456396,0.44961922624653067,-0.2855141116935863,-0.18417151438895174,0.06868405550679726
