,PTS,PTS.1,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,ORtg_x,DRtg_x,NRtg_x,Conf_x,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,ORtg_y,DRtg_y,NRtg_y,Conf_y
SRS_x,0.12623192930960395,-0.13046899611673105,0.7529646724685524,-0.6945783360642984,0.4336680869906555,-0.47031046638227525,0.7518761361779503,0.8209540619268336,0.7977777070025523,0.786604075350334,1.0,0.9232295505140311,-0.9140662626796212,0.999348225735465,-0.1974861593753531,0.21139740736775947,-0.15930141719904298,0.07853072537222214,-0.15814325411984861,0.1940167576804133,0.7944513065589264,0.4921362493980741,0.5245113142589497,0.641645493950221,0.5797704001690049,-0.5913494388382343,0.6366636282030967,-0.19392906794956105
ORtg_x,0.20060431090141367,-0.04576802761675715,0.7184813100611641,-0.6602538354711611,0.606026973528115,-0.23292406940248644,0.7147713293284418,0.739966734634431,0.891491503251534,0.5675515047736983,0.9232295505140311,1.0,-0.6902540579315276,0.9231695194732579,-0.18978406703219144,0.1964469501273055,-0.14929244477307532,0.09916416886163648,-0.12122566069300238,0.1827166836144368,0.7181633222102057,0.4500711344196586,0.4701987720809489,0.5808741149293706,0.532907549342754,-0.5272861911435307,0.5765417210558158,-0.18765599680993775
DRtg_x,-0.0316029382549905,0.1996682112472635,-0.6734284083455808,0.6250085276399188,-0.185689449701079,0.6455497344456919,-0.6735791512320286,-0.7620735770172251,-0.565426473628458,-0.8867142331347642,-0.9140662626796212,-0.6902540579315276,1.0,-0.9153555645653921,0.17079516509282958,-0.1884990739413714,0.14039586069173163,-0.044632032656048905,0.16365779573403755,-0.1688319920865585,-0.7333675146436132,-0.44919361362236626,-0.4853674857987436,-0.589801680497381,-0.5244962500305606,0.5524175162453375,-0.5852556410332974,0.16630430896248405
NRtg_x,0.12841381151119624,-0.13154065016635158,0.7575712419290753,-0.6994502732194995,0.43589503398622914,-0.47255257103778564,0.7555892297434645,0.8166259760147464,0.7964791674894609,0.7868856065697113,0.999348225735465,0.9231695194732579,-0.9153555645653921,1.0,-0.19637046353395168,0.2094570539284693,-0.1576623798660052,0.07889206574439733,-0.15440536016780393,0.19137077556288196,0.7892449301992235,0.4890873969317029,0.519507568710742,0.6365754285656045,0.5751898252345147,-0.5868948976241626,0.6317497291685116,-0.1927909312495514
Conf_x,0.010038713299403854,-0.0030824778780693526,-0.07393322836407375,0.0675620768065876,0.01127885950933273,0.06239764660334672,-0.04006060605652216,-0.22039384620521985,-0.14365433385220616,-0.16959419371146908,-0.1974861593753531,-0.18978406703219144,0.17079516509282958,-0.19637046353395168,1.0,-0.06854322495815576,0.05720964986890302,0.009638181384871583,0.05360525715543912,-0.034429807283514885,-0.2205214460076839,-0.14501850431490332,-0.16442095968813314,-0.19522638386685057,-0.1927969873808357,0.1648444055616144,-0.19479324656607644,0.9443610946246163
W_y,-0.20969125188689489,0.2841009724841654,0.0484840452076141,-0.019145418322174743,0.022100854368684,-0.03873617534782279,0.05022093740980925,0.28287077038577213,0.16371811761405083,0.17133062758940457,0.21139740736775947,0.1964469501273055,-0.1884990739413714,0.2094570539284693,-0.06854322495815576,1.0,-0.9633749916212516,0.5942486850935725,-0.5045644133475232,0.9171463117797599,0.3097354579231697,0.6434028227994575,0.5533140755294128,0.7561742027640149,0.7200552130161173,-0.6779807538543762,0.7606440775121143,-0.07800908533349209
L_y,0.20809000166263872,-0.2815478818237893,-0.025126098082417524,0.010863585067417946,-0.016063239674800944,0.029207503120401435,-0.037315694141628,-0.21576995437446647,-0.12252583923329798,-0.1299776766391776,-0.15930141719904298,-0.14929244477307532,0.14039586069173163,-0.1576623798660052,0.05720964986890302,-0.9633749916212516,1.0,-0.5991336069086209,0.5004337731848038,-0.9179726451269615,-0.23023556588706717,-0.6032951875446925,-0.5061941577425129,-0.7011523832520405,-0.6655548083574535,0.6318374785823946,-0.7058293155607729,0.06868405550679726
Pts_y,0.12375383213583785,0.4568074569999241,0.016649785692249265,-0.011983487471083337,0.123433149841745,0.09056291898720605,0.03636673863403922,0.12078687607994774,0.09608833087030674,0.027537998316281852,0.07853072537222214,0.09916416886163648,-0.044632032656048905,0.07889206574439733,0.009638181384871583,0.5942486850935725,-0.5991336069086209,1.0,0.27923687443173784,0.648898267595555,0.12183939510236046,0.8167163421458505,-0.13823716825792454,0.43482763361297466,0.6068941593482973,-0.1856436214198016,0.4356937221548535,0.012905034365096291
Opp_y,0.40851858106507855,0.1338645932059217,-0.04242139909403006,0.024431748718168684,0.088455158978896,0.14691748655328493,-0.03899426235988014,-0.19255128819627845,-0.08628470223517905,-0.16522346927001114,-0.15814325411984861,-0.12122566069300238,0.16365779573403755,-0.15440536016780393,0.05360525715543912,-0.5045644133475232,0.5004337731848038,0.27923687443173784,1.0,-0.5493797270272972,-0.20675998995043662,0.08841066923410203,-0.8495773416218474,-0.47422181039356687,-0.2363845721709808,0.6510928998313225,-0.47787594025711794,0.06733834588460726
MOV_y,-0.21610135933576527,0.29121606970685165,0.04835750180745903,-0.029937503292377626,0.03745827771300196,-0.03769295153879084,0.06273089672782396,0.25809777504335374,0.152278545160699,0.15517701148974408,0.1940167576804133,0.1827166836144368,-0.1688319920865585,0.19137077556288196,-0.034429807283514885,0.9171463117797599,-0.9179726451269615,0.648898267595555,-0.5493797270272972,1.0,0.27029318578925515,0.640783674768305,0.55312492911752,0.7543787374564143,0.7157795142508447,-0.6774971370591627,0.758016114022113,-0.04270910529280691
